WGD ID	Phylogenetic location	Species	KS peak	Credible range	Posterior Mean	Posterior Median	Posterior Mode	90% HPD	Consensus Peak	Consensus Mean	90% HCR	Full_Species	Crown_ages	Stem_ages	90%_HCR_Lower	90%_HCR_Higher	Crown_ages_Lower	Crown_ages_Higher	Stem_ages_Lower	Stem_ages_Higher
ZING	Zingiberaceae	Lanxangia_tsaoko	0.32	0.18-0.57	32.26	31.47	29.46	19.83-44.38	31.18	33.08	21.52-43.66	Wurfbainia_villosa, Lanxangia_tsaoko, Zingiber_officinale	18.053700000000017	58.61510000000001	21.52	43.66	5.40328	32.3559	39.191900000000004	79.5379
ZING	Zingiberaceae	Wurfbainia_villosa	0.36	0.20-0.71	34.49	34.11	33.76	21.52-47.40	31.18	33.08	21.52-43.66	Wurfbainia_villosa, Lanxangia_tsaoko, Zingiber_officinale	18.053700000000017	58.61510000000001	21.52	43.66	5.40328	32.3559	39.191900000000004	79.5379
POLG	Polygonaceae	Rheum_tanguticum	0.65	0.30-2.03	61.79	61.21	61.08	40.08-82.53	62.07	62.75	42.01-82.53	Rheum_tanguticum, Fagopyrum_tataricum	39.323299999999996	74.59219999999999	42.01	82.53	14.4931	62.4202	49.4511	98.8712
POLG	Polygonaceae	Fagopyrum_tataricum	0.81	0.45-1.73	63.71	63.32	63.21	42.01-85.96	62.07	62.75	42.01-82.53	Rheum_tanguticum, Fagopyrum_tataricum	39.323299999999996	74.59219999999999	42.01	82.53	14.4931	62.4202	49.4511	98.8712
CARY	Partial Caryophyllaceae	Gypsophila_paniculata	0.7	0.37- 1.62	55.94	54.73	53.35	33.23-77.99	53.92	56.48	39.06-74.71	Dianthus_caryophyllus, Gypsophila_paniculata, Silene_latifolia	44.98789999999999	65.54419999999999	39.06	74.71	28.219499999999996	61.21529999999999	51.8093	78.7721
CARY	Partial Caryophyllaceae	Dianthus_caryophyllus	0.8	0.43- 1.96	60.68	59.86	57.05	39.06-82.94	53.92	56.48	39.06-74.71	Dianthus_caryophyllus, Gypsophila_paniculata, Silene_latifolia	44.98789999999999	65.54419999999999	39.06	74.71	28.219499999999996	61.21529999999999	51.8093	78.7721
CARY	Partial Caryophyllaceae	Silene_latifolia	0.68	0.38- 1.24	52.81	51.91	51.23	30.23-74.71	53.92	56.48	39.06-74.71	Dianthus_caryophyllus, Gypsophila_paniculata, Silene_latifolia	44.98789999999999	65.54419999999999	39.06	74.71	28.219499999999996	61.21529999999999	51.8093	78.7721
ACPT	ACPT clade	Hylocereus_undatus	0.74	0.48-1.34	61.63	61.57	62.32	38.02-85.35	63.23	65.3	46.42-85.35	Portulaca_amilis, Hylocereus_undatus	41.47159999999999	73.81199999999998	46.42	85.35	16.6734	64.4923	59.2971	89.8532
ACPT	ACPT clade	Portulaca_amilis	1.02	0.61-2.19	68.97	68.63	64.08	46.42-92.51	63.23	65.3	46.42-85.35	Portulaca_amilis, Hylocereus_undatus	41.47159999999999	73.81199999999998	46.42	85.35	16.6734	64.4923	59.2971	89.8532
NYSS	Nyssaceae	Camptotheca_acuminata	0.4	0.25-0.67	77.28	78.09	78.33	60.30-94.16	74.54	72.56	61.43-84.74	Nyssa_sinensis, Nyssa_yunnanensis, Camptotheca_acuminata, Davidia_involucrata	49.26219999999999	77.04279999999999	61.43	84.74	27.4276	73.2498	51.167399999999994	98.0324
NYSS	Nyssaceae	Nyssa_sinensis	0.37	0.17-1.45	77.65	78.13	78.56	61.43-94.78	74.54	72.56	61.43-84.74	Nyssa_sinensis, Nyssa_yunnanensis, Camptotheca_acuminata, Davidia_involucrata	49.26219999999999	77.04279999999999	61.43	84.74	27.4276	73.2498	51.167399999999994	98.0324
NYSS	Nyssaceae	Davidia_involucrata	0.21	0.11-0.60	62.76	63.24	66.81	40.60-84.74	74.54	72.56	61.43-84.74	Nyssa_sinensis, Nyssa_yunnanensis, Camptotheca_acuminata, Davidia_involucrata	49.26219999999999	77.04279999999999	61.43	84.74	27.4276	73.2498	51.167399999999994	98.0324
PRIM	Partial Primulaceae	Aegiceras_corniculatum	0.43	0.29-1.17	51.68	51.21	50.95	34.02-68.81	54.65	54.96	39.76-68.81	Primula_veris, Aegiceras_corniculatum	37.8714	69.44319999999999	39.76	68.81	16.2312	58.8155	48.3933	92.85210000000001
PRIM	Partial Primulaceae	Primula_veris	0.83	0.46-1.79	58.24	58.02	58.4	39.76-76.12	54.65	54.96	39.76-68.81	Primula_veris, Aegiceras_corniculatum	37.8714	69.44319999999999	39.76	68.81	16.2312	58.8155	48.3933	92.85210000000001
NEOL	Neolamarckia	Neolamarckia_cadamba	0.1	0.06-0.25	59.17	59.08	59.14	39.91-76.46	59.14	59.17	39.91-76.46	Neolamarckia_cadamba	9.999999996956888e-05	36.49039999999999	39.91	76.46	0.0	50.0332	23.9177	50.0332
UTRI	Utricularia	Utricularia_gibba	0.42	0.27-0.90	39.65	38.79	36.14	23.30-55.72	36.14	39.65	23.30-55.72	Utricularia_gibba	0.00019999999998354667	32.38399999999997	23.3	55.72	0.0	48.8542	15.717600000000001	48.8542
OROB	Partial core Lamiales	Orobanche_cumana	0.67	0.37-2.78	63.98	64.21	65.15	46.55-82.18	56.84	57.28	46.55-65.78	Scutellaria_baicalensis, Pogostemon_cablin, Tectona_grandis, Rosmarinus_officinalis, Salvia_splendens, Origanum_vulgare, Origanum_majorana, Thymus_quinquecostatus, Ocimum_basilicum, Perilla_frutescens, Callicarpa_americana, Phtheirospermum_japonicum, Striga_hermonthica, Striga_asiatica, Phelipanche_aegyptiaca, Orobanche_cumana, Lindenbergia_luchunensis, Paulownia_fortunei, Mimulus_guttatus, Jacaranda_mimosifolia, Handroanthus_impetiginosus, Andrographis_paniculata, Strobilanthes_cusia, Avicennia_marina, Sesamum_indicum, Utricularia_gibba, Genlisea_aurea, Buddleja_alternifolia	60.007399999999976	64.36389999999999	46.55	65.78	50.3108	70.9455	52.971900000000005	75.63220000000001
OROB	Partial core Lamiales	Lindenbergia_luchunensis	0.75	0.39-1.84	58.14	58.04	57.74	40.48-75.51	56.84	57.28	46.55-65.78	Scutellaria_baicalensis, Pogostemon_cablin, Tectona_grandis, Rosmarinus_officinalis, Salvia_splendens, Origanum_vulgare, Origanum_majorana, Thymus_quinquecostatus, Ocimum_basilicum, Perilla_frutescens, Callicarpa_americana, Phtheirospermum_japonicum, Striga_hermonthica, Striga_asiatica, Phelipanche_aegyptiaca, Orobanche_cumana, Lindenbergia_luchunensis, Paulownia_fortunei, Mimulus_guttatus, Jacaranda_mimosifolia, Handroanthus_impetiginosus, Andrographis_paniculata, Strobilanthes_cusia, Avicennia_marina, Sesamum_indicum, Utricularia_gibba, Genlisea_aurea, Buddleja_alternifolia	60.007399999999976	64.36389999999999	46.55	65.78	50.3108	70.9455	52.971900000000005	75.63220000000001
OROB	Partial core Lamiales	Phtheirospermum_japonicum	0.92	0.54-2.05	60.15	60.13	59.89	42.74-78.22	56.84	57.28	46.55-65.78	Scutellaria_baicalensis, Pogostemon_cablin, Tectona_grandis, Rosmarinus_officinalis, Salvia_splendens, Origanum_vulgare, Origanum_majorana, Thymus_quinquecostatus, Ocimum_basilicum, Perilla_frutescens, Callicarpa_americana, Phtheirospermum_japonicum, Striga_hermonthica, Striga_asiatica, Phelipanche_aegyptiaca, Orobanche_cumana, Lindenbergia_luchunensis, Paulownia_fortunei, Mimulus_guttatus, Jacaranda_mimosifolia, Handroanthus_impetiginosus, Andrographis_paniculata, Strobilanthes_cusia, Avicennia_marina, Sesamum_indicum, Utricularia_gibba, Genlisea_aurea, Buddleja_alternifolia	60.007399999999976	64.36389999999999	46.55	65.78	50.3108	70.9455	52.971900000000005	75.63220000000001
